ObjectID,Date_Updated,F7_Day_MA_NA,New_Cases_NC,F7_Day_MA_NC,Doubling_Time,Curr_Hosp_Inpatients,F7_Day_MA_Hosp,Curr_ICU,F7_Day_MA_ICU,Curr_Ventilator,F7_Day_MA_Vent,Record_Status,New_Admissions,ACS_Admiss,DisplayDate,No_Data,NC_L7day
43,2020/04/23 05:00:00+00,8.57142857142857,49,40.4285714285714,25.434502741004,81,80,34,36.2857142857143,19,18.7142857142857,Past,6,,,,283
44,2020/04/24 05:00:00+00,9,67,43.5714285714286,25.1060450295612,79,80.1428571428571,36,35.2857142857143,18,17.7142857142857,Past,11,,,,305
45,2020/04/25 05:00:00+00,8.71428571428571,17,43.4285714285714,27.2511430687769,72,79.5714285714286,34,34.8571428571429,17,17.4285714285714,Past,9,,,,304
46,2020/04/26 05:00:00+00,8.14285714285714,16,43.4285714285714,29.1511430687769,74,78.8571428571429,32,34.7142857142857,18,17.4285714285714,Past,4,,,,304
47,2020/04/27 05:00:00+00,9,52,41.4285714285714,30.1877398053736,80,78.8571428571429,35,34.1428571428571,17,17.4285714285714,Past,11,,,,290
48,2020/04/28 05:00:00+00,9.14285714285714,75,43.7142857142857,30.149909296899,85,79.4285714285714,36,33.8571428571429,17,17.4285714285714,Past,14,,,,306
49,2020/04/29 05:00:00+00,9.71428571428571,52,46.8571428571429,28.9995246815144,88,79.8571428571429,36,34,20,18,Past,13,,,,328
50,2020/04/30 05:00:00+00,10.4285714285714,63,48.8571428571429,28.9473704865031,92,81.4285714285714,35,34.7142857142857,21,18.2857142857143,Past,11,,,,342
51,2020/05/01 05:00:00+00,9.71428571428571,29,43.4285714285714,32.6926098071412,88,82.7142857142857,39,34.8571428571429,20,18.5714285714286,Past,6,,,,304
52,2020/05/02 05:00:00+00,9.42857142857143,31,45.4285714285714,30.0098773593234,85,84.5714285714286,34,35.2857142857143,14,18.1428571428571,Past,7,,,,318
53,2020/05/03 05:00:00+00,9.85714285714286,42,49.1428571428571,25.3658297402758,87,86.4285714285714,35,35.2857142857143,16,17.8571428571429,Past,7,,,,344
54,2020/05/04 05:00:00+00,9.28571428571429,60,50.2857142857143,25.5771117915578,89,87.7142857142857,33,35.7142857142857,17,17.8571428571429,Past,7,,,,352
55,2020/05/05 05:00:00+00,8.85714285714286,60,48.1428571428571,26.6517784582245,94,89,32,35.4285714285714,15,17.5714285714286,Past,11,,,,337
56,2020/05/06 05:00:00+00,8.57142857142857,70,50.7142857142857,26.3721630736091,100,90.7142857142857,33,34.8571428571429,17,17.1428571428571,Past,11,,,,355
57,2020/05/07 05:00:00+00,8.71428571428571,56,49.7142857142857,27.3217662482123,101,92,32,34.4285714285714,17,16.5714285714286,Past,12,,,,348
58,2020/05/08 05:00:00+00,9.14285714285714,69,55.4285714285714,24.5197672477126,97,93.2857142857143,36,34,21,16.7142857142857,Past,9,,,,388
59,2020/05/09 05:00:00+00,9.42857142857143,24,54.4285714285714,27.7199016563147,90,94,36,33.5714285714286,21,17.7142857142857,Past,9,,,,381
60,2020/05/10 05:00:00+00,9.14285714285714,32,53,30.1858242753623,91,94.5714285714286,39,33.8571428571429,20,18.2857142857143,Past,5,,,,371
61,2020/05/11 05:00:00+00,9,44,50.7142857142857,32.0932485177866,91,94.8571428571429,36,34.4285714285714,21,18.8571428571429,Past,6,,,,355
62,2020/05/12 05:00:00+00,9.14285714285714,64,51.2857142857143,32.4587693511199,91,94.4285714285714,34,34.8571428571429,22,19.8571428571429,Past,12,,,,359
63,2020/05/13 05:00:00+00,8.57142857142857,53,48.8571428571429,33.9957504831954,93,93.4285714285714,31,35.1428571428571,20,20.2857142857143,Past,7,,,,342
64,2020/05/14 05:00:00+00,8.71428571428571,57,49,34.5347855709147,95,92.5714285714286,35,34.8571428571429,19,20.5714285714286,Past,13,,,,343
65,2020/05/15 05:00:00+00,9.71428571428571,36,44.2857142857143,38.1472251844412,102,93.2857142857143,34,35.2857142857143,21,20.5714285714286,Past,16,,,,310
66,2020/05/16 05:00:00+00,10.2857142857143,44,47.1428571428571,34.9294221541382,101,94.8571428571429,36,35,20,20.4285714285714,Past,13,,,,330
67,2020/05/17 05:00:00+00,11.2857142857143,34,47.4285714285714,35.5149000953147,102,96.4285714285714,35,35,21,20.5714285714286,Past,12,,,,332
68,2020/05/18 05:00:00+00,11.5714285714286,78,52.2857142857143,33.8333732887879,103,98.1428571428571,35,34.4285714285714,21,20.5714285714286,Past,8,,,,366
69,2020/05/19 05:00:00+00,11.2857142857143,58,51.4285714285714,34.8153237198224,99,99.2857142857143,39,34.2857142857143,25,21,Past,10,,,,360
70,2020/05/20 05:00:00+00,11.5714285714286,49,50.8571428571429,35.8942609550938,101,100.428571428571,38,35,22,21.2857142857143,Past,9,,,,356
71,2020/05/21 05:00:00+00,11.1428571428571,68,52.4285714285714,35.7684611614922,96,100.571428571429,39,36,24,22,Past,10,,,,367
72,2020/05/22 05:00:00+00,10,49,54.2857142857143,34.7892661501543,94,99.4285714285714,38,36.5714285714286,23,22.2857142857143,Past,8,,,,380
73,2020/05/23 05:00:00+00,9,27,51.8571428571429,39.6038284397166,88,97.5714285714286,40,37.1428571428571,23,22.7142857142857,Past,6,,,,363
74,2020/05/24 05:00:00+00,7.85714285714286,59,55.4285714285714,37.1968992273537,85,95.1428571428571,39,37.7142857142857,21,22.7142857142857,Past,4,,,,388
75,2020/05/25 05:00:00+00,8.42857142857143,86,56.5714285714286,37.3548002410686,91,93.4285714285714,42,38.2857142857143,25,23.2857142857143,Past,12,,,,396
76,2020/05/26 05:00:00+00,8.42857142857143,51,55.5714285714286,38.731642702191,93,92.5714285714286,41,39.2857142857143,22,22.8571428571429,Past,10,,,,389
77,2020/05/27 05:00:00+00,9,73,59,37.5233955677208,98,92.1428571428571,41,39.5714285714286,21,22.7142857142857,Past,13,,,,413
78,2020/05/28 05:00:00+00,8.28571428571429,67,58.8571428571429,38.1978468407673,88,91,38,40,22,22.4285714285714,Past,5,,,,412
79,2020/05/29 05:00:00+00,9.28571428571429,62,60.7142857142857,37.7018626406357,84,89.5714285714286,39,39.8571428571429,19,21.8571428571429,Past,15,,,,425
80,2020/05/30 05:00:00+00,9.85714285714286,46,63.4285714285714,34.4020236712315,83,88.8571428571429,34,40,19,21.2857142857143,Past,10,,,,444
81,2020/05/31 05:00:00+00,9.57142857142857,40,60.7142857142857,37.7565999424179,81,88.2857142857143,35,39.1428571428571,18,20.8571428571429,Past,2,,,,425
82,2020/06/01 21:00:00+00,10.4285714285714,88,61,38.1643166443207,93,88.5714285714286,40,38.5714285714286,20,20.1428571428571,Past,18,,,,427
84,2020/06/02 21:00:00+00,10.857,73,64.142,37.016,93,89,41,38.285,21,20,Past,12,,,,449
87,2020/06/03 21:00:00+00,11.4285,68,63.4285,37.976,98,88.4285,39,38,21,20,Past,16,,,,444
88,2020/06/04 21:00:00+00,11.857,61,62.5714,39.153,91,89.1428,38,38,20,19.714,Past,7,,,,438
89,2020/06/05 21:00:00+00,11.8,54,61.4,40.7,89.4,89.42,37,37.71,22,20.14,Past,13,,,,430
90,2020/06/06 21:00:00+00,11.428,46,61.428,41.645,80,89.142,36,38,22,20.57,Past,7,,,,430
91,2020/06/07 21:00:00+00,12.85,35,60.71,44.02,87,90,40,38.71,25,21.57,Past,13,,,,425
92,2020/06/08 21:00:00+00,11.71,118,65,43.44,89,88.85,38,38.42,25,22.28,Past,10,,,,455
93,2020/06/09 21:00:00+00,11.28,161,77.57,41.21,91,88.28,36,37.71,26,23,Past,11,,,,543
94,2020/06/10 21:00:00+00,13,133,86.85,39.15,104,89.42,44,38.42,27,23.85,Past,24,,,,608
95,2020/06/11 21:00:00+00,14.85,129,96.57,36.59,112,93.57,46,39.57,26,24.71,Past,23,,,,676
96,2020/06/12 21:00:00+00,17.14,76,99.714,35.57,134,100.57,49,41.28,27,25.42,Past,29,,,,698
98,2020/06/13 21:00:00+00,18,147,114.14,30.65,111,103.28,48,43,24,25.71,Past,15,,,,799
99,2020/06/14 21:00:00+00,20.57,84,121.142,25.49,129,109.42,52,44.714,29,26.28,Past,30,,,,848
100,2020/06/15 21:00:00+00,22.57,119,121.28,26.185,142,117.28,52,46.71,31,27.14,Past,23,,,,849
101,2020/06/16 21:00:00+00,24.57,107,113.57,28.17,158,128.57,59,50,28,27.42,Past,22,,,,795
102,2020/06/17 21:00:00+00,24.28,220,126,27.35,173,142.71,63,52.714,26,27.28,Past,21,,,,882
103,2020/06/18 21:00:00+00,25.57,,,,153,139.42,63,55.14,26,27.28,Past,29,,,,1048
104,2020/06/19 21:00:00+00,27.71,295,149.71,25.86,173,147.71,64,57.28,27,27.28,Past,34,,,,1390
105,2020/06/20 21:00:00+00,28.57,418,198.57,21.548,172,154.85,71,60.57,26,27.57,Past,29,,,,1749
107,2020/06/21 21:00:00+00,25.714,506,249.85,19.74,174,160.28,84,65.142,31,27.857,Past,10,,,,1794
109,2020/06/22 21:00:00+00,27.714,129,256.28,19.27,181,165.57,86,70,32,28,Past,21,,,,1932
110,2020/06/23 21:00:00+00,39.28,257,276,17.89,236,192,94,75,34,28.85,Past,56,,,,2143
111,2020/06/24 21:00:00+00,46.57143,318,306.14,15.6,274,209.14,106,81.14,42,31.14,Past,78,,,,2106
112,2020/06/25 21:00:00+00,48.85714,183,300.85,17.21,293,226.85,109,87.71,43,33.57,Past,57,,,,2539
113,2020/06/26 21:00:00+00,52.28571,183,300.85,17.21,299,243.71,114,94.85,48,36.57,Past,61,,,,2757
116,2020/06/27 21:00:00+00,55.57143,728,362.71,16.49,316,262.42,114,101,47,39.57,Past,61,,,,2759
119,2020/06/28 21:00:00+00,59.42857,636,393.857,16.465,351,283.857,114,105.258,60,43.714,Past,65,,,,3188
120,2020/06/29 21:00:00+00,62.57143,508,394.14,17,368,305.28,121,110.28,65,48.42,Past,60,,,,3528
121,2020/06/30 21:00:00+00,64.28571,558,455.42,13.797,369,324.28,132,115.71,64,52.71,Past,68,,,,3781
122,2020/07/01 21:00:00+00,62.42857,597,504,12.92,376,338.85,133,119.57,67,56.287,Past,65,,,,3912
123,2020/07/02 21:00:00+00,67.28571,571,540.14,12.62,415,356.28,145,124.71,70,60.14,Past,92,,,,3306
124,2020/07/03 21:00:00+00,69.57143,314,558.85,12.25,418,373.28,151,130,66,62.71,Past,77,,,,3218
125,2020/07/04 21:00:00+00,71.57143,122,472.28,20.3,434,390.14,156,136,70,66,Past,75,,,,2957
126,2020/07/05 21:00:00+00,72,548,459.71,21.02,446,403.71,137,139.28,72,67.71,Past,68,,,,2881
127,2020/07/06 21:00:00+00,74.14286,247,422.42,24.16,466,417.71,140,142,83,70.28,Past,75,,,,3037
128,2020/07/07 21:00:00+00,74.85714,482,411.57,25.03,469,432,148,144.28,89,73.85,Past,73,,,,3169
129,2020/07/08 21:00:00+00,75.14,753,433.85,25.08,458,443.71,149,146.57,91,75,Past,67,,,,3295
130,2020/07/09 21:00:00+00,71.57,703,452.71,25.18,440,447.28,132,144.71,91,76,Past,66,,,,3491
131,2020/07/10 21:00:00+00,70,440,470.71,24.92,438,450.14,133,142.14,88,78.5,Past,66,,,,3109
132,2020/07/11 21:00:00+00,69.71,318,498.71,20.4,435,450.28,134,139,87,85.85,Past,73,,,,3519
133,2020/07/12 21:00:00+00,70.42,166,444.14,27.17,434,448.57,151,141,87,88,Past,73,,,,3590
135,2020/07/14 21:00:00+00,69.57,553,512.85,25.02,469,447.57,154,143.42,92,88.85,Past,74,,,,3119
136,2020/07/15 21:00:00+00,71.14,572,487,26.17,492,452.42,159,144.85,97,89.71,Past,78,,,,2911
137,2020/07/16 21:00:00+00,70.57,413,445.57,28.31,479,458,151,147.57,103,91.42,Past,62,,,,2832
138,2020/07/17 21:00:00+00,70.28,232,415.85,32.47,469,462.42,158,151.14,102,93.42,Past,64,,,,2858
139,2020/07/18 21:00:00+00,70.85,239,404.57,35.18,466,466.85,151,153.57,105,96,Past,77,,,,2346
140,2020/07/19 21:00:00+00,69.42,192,408.28,35.46,480,473.42,158,154.57,110,99.28,Past,63,,,,2396
141,2020/07/20 21:00:00+00,65.85,145,335.14,45.38,480,476.42,158,155.57,108,102.42,Past,43,,,,2126
142,2020/07/21 21:00:00+00,63.42,603,342.28,45.54,459,475,153,155.42,106,104.42,Past,57,,,,1956
143,2020/07/22 21:00:00+00,60.57,302,303.71,48.83,453,469.42,160,155.57,111,106.42,Past,58,,,,1962
144,2020/07/23 21:00:00+00,59.71,243,279.42,52.51,438,463.57,150,155.42,111,107.57,Past,56,,,,1947
145,2020/07/24 21:00:00+00,57.28,238,280.28,53.15,423,457,148,154,102,107.57,Past,47,,,,1834
146,2020/07/13 21:00:00+00,69.42,657,502.71,24.702,459,447.57,151,142.57,86,88.42,Past,,,,,3409
148,2020/07/25 21:00:00+00,53.14,224,278.14,54.51,409,448.85,151,154,104,107.42,Past,48,,,,1929
149,2020/07/26 21:00:00+00,48.3,79,262,69.98,396,436.85,145,152.14,101,106.14,Past,29,,,,1558
150,2020/07/27 21:00:00+00,47,240,275.57,65.92,390,424,140,149.57,97,104.57,Past,34,,,,1491
151,2020/07/28 21:00:00+00,44.28,232,222.57,71.47,370,411.28,133,146.71,97,103.28,Past,38,,,,1526
152,2020/07/29 21:00:00+00,41.28,235,213,71.36,371,399.57,128,142.14,89,100.14,Past,37,,,,1568
153,2020/07/30 21:00:00+00,39.85,278,218,70.93,355,387.71,131,139.42,88,96.85,Past,46,,,,1566
154,2020/07/31 21:00:00+00,37.714,280,224,70.38,338,375.57,127,136,83,94.14,Past,32,,,,1734
155,2020/08/01 21:00:00+00,36.71,222,223.71,71.38,321,363,119,131.85,87,91.71,Past,41,,,,1829
156,2020/08/02 21:00:00+00,36.28,247,247.71,56.2,307,350.28,119,128.14,81,88.85,Past,26,,,,1870
157,2020/08/03 21:00:00+00,36.57,335,261.28,54.75,310,338.85,114,124.42,75,85.71,Past,36,,,,1837
158,2020/08/04 21:00:00+00,37,273,218.22,55.11,309,330.14,113,121.57,74,82.42,Past,41,,,,1791
159,2020/08/05 21:00:00+00,38,202,262.42,57.43,308,321.14,111,119.14,70,79.71,Past,44,,,,1735
160,2020/08/06 21:00:00+00,35.85,232,255.85,59.66,297,312.85,106,115.57,73,77.57,Past,31,,,,1635
161,2020/08/07 21:00:00+00,34.71,224,247.85,62.29,279,304.42,105,112.42,74,76.28,Past,24,,,,1510
162,2020/08/08 21:00:00+00,35,122,233.57,71.37,275,297.85,96,109.14,75,74.57,Past,43,,,,1404
163,2020/08/09 21:00:00+00,35.28,122,215.71,81.41,278,293.71,98,106.14,77,74,Past,28,,,,1427
164,2020/08/10 21:00:00+00,32.85,229,200.57,85,271,288.14,101,104.28,76,74.14,Past,19,,,,1397
165,2020/08/11 21:00:00+00,33.57,296,203.85,84.86,279,283.85,98,102.14,75,74.28,Past,46,,,,1462
166,2020/08/12 21:00:00+00,32.71,172,199.57,87.57,275,279.14,98,100.28,65,73.57,Past,38,,,,1390
167,2020/08/13 21:00:00+00,32.85,297,208.85,85.96,263,274,92,98.28,65,72.42,Past,32,,,,1406
168,2020/08/14 21:00:00+00,32.57,152,198.57,91.63,236,268,89,96,60,70.42,Past,22,,,,1420
169,2020/08/15 21:00:00+00,31.85,138,200.85,90.5,228,261.42,86,94.57,58,68,Past,38,,,,1456
170,2020/08/16 21:00:00+00,31.57,136,202.85,89.63,234,255.14,83,92.42,54,64.71,Past,26,,,,1510
171,2020/08/17 21:00:00+00,32.71,265,208,88.82,236,250.14,83,89.857,54,61.57,Past,27,,,,1641
172,2020/08/18 21:00:00+00,29.428,350,215.714,88.04,230,243.14,79,87.14,56,58.85,Past,23,,,,1635
173,2020/08/19 21:00:00+00,27.28,303,234.42,82.69,215,234.57,78,84.28,55,57.42,Past,23,,,,1689
174,2020/08/20 21:00:00+00,27,291,233.57,83.422,208,226.7,73,81.57,50,55.28,Past,30,,,,1632
175,2020/08/21 21:00:00+00,26.714,206,241.28,80.12,190,220.14,67,78.42,45,53.14,Past,20,,,,1592
176,2020/08/22 21:00:00+00,24,81,233.14,94.38,184,213.85,63,75.14,40,50.57,Past,19,,,,1481
177,2020/08/23 21:00:00+00,22.85,96,227.42,103.43,172,205,63,72.28,40,48.57,Past,18,,,,1258
178,2020/08/24 21:00:00+00,21.14,154,211.57,111.03,171,195.71,58,68.71,39,46.42,Past,15,,,,1055
179,2020/08/25 21:00:00+00,21,127,179.71,124.45,171,187.28,59,65.85,40,44.14,Past,22,,,,886
180,2020/08/26 21:00:00+00,19.57,100,150.71,142.29,158,179.14,57,62.85,40,42,Past,13,,,,748
181,2020/08/27 21:00:00+00,18.85,122,126.57,155.09,159,172.14,58,60.7,37,40.14,Past,25,,,,676
182,2020/08/28 21:00:00+00,18.28,68,106.5,181.37,155,167.14,57,59.28,35,38.71,Past,16,,,,698
183,2020/08/29 21:00:00+00,19,9,96.57,442.11,148,162,57,58.42,33,37.71,Past,24,,,,626
184,2020/08/30 21:00:00+00,18.85,118,99.71,437.7,139,157.28,52,56.85,32,36.57,Past,17,,,,546
185,2020/08/31 21:00:00+00,18.42,82,89.42,453.23,136,152.28,51,55.85,30,35.28,Past,12,,,,505
186,2020/09/01 21:00:00+00,17.85,47,78,489.266,113,146.85,48,54.285,29,33.71,Past,18,,,,487
187,2020/09/02 21:00:00+00,17.85,59,72.14,508.27,125,142.14,44,52.42,29,32.14,Past,13,,,,547
188,2020/09/03 21:00:00+00,18,104,69.57,512.46,129,137.85,48,51,29,31,Past,26,,,,615
189,2020/09/04 21:00:00+00,18.71,128,78.14,494.75,128,134,47,49.57,27,29.85,Past,21,,,,535
190,2020/09/05 21:00:00+00,18.42,77,87.85,237.33,129,131.28,43,47.57,28,29.14,Past,22,,,,522
191,2020/09/06 21:00:00+00,18.57,38,76.42,285.89,124,129.14,42,46.14,28,28.57,Past,18,,,,561
192,2020/09/07 21:00:00+00,19,69,74.57,292.74,127,127.8,41,44.7,26,28,Past,15,,,,584
193,2020/09/08 21:00:00+00,18.42,86,80.14,267.77,122,126.28,42,43.85,26,27.57,Past,14,,,,698
194,2020/09/09 21:00:00+00,17.85,82,83.42,255.82,99,122.57,40,43.28,24,26.85,Past,9,,,,671
195,2020/09/10 21:00:00+00,17.14,218,99.71,242.7,92,117.28,38,41.85,25,26.28,Past,21,,,,647
196,2020/09/11 21:00:00+00,16.71,101,95.85,248.98,97,112.85,34,40,23,25.7,Past,18,,,,732
197,2020/09/12 21:00:00+00,16.57,53,92.42,266.04,91,107.42,37,39.14,21,24.71,Past,21,,,,738
198,2020/09/13 21:00:00+00,15.42,123,104.57,217.59,90,102.57,37,38.42,23,24,Past,10,,,,837
200,2020/09/14 21:00:00+00,14.85,75,105.42,215.43,93,97.71,34,37.42,18,23,Past,11,,,,897
201,2020/09/15 21:00:00+00,14.43,185,119.57,199.01,86,92.57,33,36.14,18,21.7,Past,11,,,,788
202,2020/09/16 21:00:00+00,13.85,142,128.14,185.62,74,89,29,34.57,14,20.28,Past,5,,,,850
203,2020/09/17 21:00:00+00,13.3,109,112.57,198.92,79,87.14,26,32.85,14,18.71,Past,17,,,,860
204,2020/09/18 21:00:00+00,13.57,163,121.42,189.08,82,85,20,30.85,12,17.14,Past,20,,,,740
205,2020/09/19 21:00:00+00,11.85,63,122.85,182.19,84,84,27,29.42,14,16.14,Past,9,,,,820
206,2020/09/20 21:00:00+00,12.57,3,105.7,1107.7,79,82.42,27,28,16,15.14,Past,15,,,,682
207,2020/09/21 21:00:00+00,14.28,155,117.14,1089.11,91,82.14,32,27.71,19,15.28,Past,23,,,,642
208,2020/09/22 21:00:00+00,15.14,47,97.42,1134.95,93,83.14,30,27.28,17,15.14,Past,17,,,,692
209,2020/09/23 21:00:00+00,15.71,102,91.71,1143.33,86,84.85,28,27.14,19,15.85,Past,9,,,,698
210,2020/09/24 21:00:00+00,16.14,159,98.85,1135.63,89,86.28,30,27.7,17,16.28,Past,20,,,,692
211,2020/09/25 21:00:00+00,15.14,169,99.7,1135.42,85,86.71,27,28.7,15,16.7,Past,13,,,,811
212,2020/09/26 21:00:00+00,15.85,57,98.85,1141.39,79,86,24,28.28,17,17.14,Past,14,,,,747
213,2020/09/27 21:00:00+00,15.71,122,115.85,217.33,84,86.71,24,27.85,16,17.14,Past,14,,,,778
215,2020/09/28 21:00:00+00,13,91,106.71,231.13,78,84.85,19,26,16,16.71,Past,4,,,,769
216,2020/09/29 21:00:00+00,11.85,78,111.14,207.9,73,82,18,24.28,7,15.28,Past,9,,,,672
217,2020/09/30 21:00:00+00,13,93,109.85,211.46,79,81,22,23.42,15,14.7,Past,17,,,,574
218,2020/10/01 21:00:00+00,12.28,62,96,240.988,83,80.14,26,22.85,12,14,Past,15,,,,620
219,2020/10/02 21:00:00+00,12.42,71,82,265.54,79,79.28,24,22.42,13,13.71,Past,14,,,,547
220,2020/10/03 21:00:00+00,12.14,103,88.57,243.31,72,78.28,26,22.71,14,13.28,Past,12,,,,514
221,2020/10/04 21:00:00+00,12,49,78.14,280.15,75,77,27,23.14,14,13,Past,13,,,,531
222,2020/10/05 21:00:00+00,12.71,58,73.42,299.38,78,77,25,24,13,12.57,Past,9,,,,483
