"date","count_relative_colleges_av","count_relative_drinking_av","count_relative_schools_av","count_relative_grocery_av","count_relative_museums/parks_av","count_relative_restaurants_av","median_home_dwell_time_relative_av"
2020-01-22,1.87755627009646,0.791001180320031,1.61878241789404,0.961141602027154,1.00774072324605,0.956835041390683,0.00384066965314705
2020-01-23,1.84861736334405,0.92031345714243,1.62115328964266,0.967448795547343,1.03284011859464,1.00237295699832,-0.0043799528355402
2020-01-24,1.47935691318328,1.18308407165588,1.65995888164585,1.04728458721078,1.09956267789632,1.13999085649597,-0.0251870306078893
2020-01-25,0.900578778135048,1.41750459428367,1.06804285699343,1.05919356444956,1.07676406045468,1.18922699293011,0.0610968043456656
2020-01-26,0.715369774919614,1.27440946646546,0.370448710722267,1.03666194549257,1.02860459562957,1.03868573014689,0.218102620788606
2020-01-27,1.34392282958199,0.93051052576534,0.949324940757261,1.07409015967158,1.07048921161753,0.962206850008436,0.146718444749812
2020-01-28,1.86829581993569,0.765564536612332,1.62516285215871,0.958651920374448,1.00554452615305,0.926269613632529,0.0326909049089932
2020-01-29,1.78514469453376,0.734637163646143,1.58733350146378,0.863421597158443,0.938246772374629,0.90951740803431,0.0430800504972389
2020-01-30,1.73209003215434,0.825178168561653,1.57014468128627,0.904376860345457,1.05929906452462,0.967023517310068,0.0401700247963128
2020-01-31,1.27350482315113,1.21076182934664,1.5794189737147,1.06384097020128,1.26621220492959,1.08275415403539,-0.0011263765527835
2020-02-01,0.722508038585209,1.5227248957882,1.00911972088796,1.24284908103084,1.45790883690448,1.23456081246564,0.0212316400401584
2020-02-02,0.584372990353698,1.25401532921964,0.355142641639249,1.23716430792383,1.35374634620781,1.07290855951714,0.125416885182776
2020-02-03,1.10662379421222,0.839297186654913,0.783503381397722,1.07014816372147,1.11498834795431,0.867979775439895,0.0367880320677171
2020-02-04,1.67189710610932,0.727017376103749,1.38894732132169,0.900517853783763,1.06729949679198,0.896332801776452,-0.0752321013262151
2020-02-05,1.65742765273312,0.740912282798703,1.36876004569739,0.826117867062065,0.941541068014132,0.882552234988053,-0.0226821049558008
2020-02-06,1.61305466237942,0.793802572798853,1.31827442375613,0.818233875161829,0.900754550572667,0.913738114805401,-0.00921889456992171
2020-02-07,1.27890675241158,1.09590473771496,1.40784456378865,0.903629955849645,1.01720528690875,1.07106353102532,-0.109687619730315
2020-02-08,0.826302250803859,1.49123724432625,0.98771214362834,1.07023115310989,1.09945809708237,1.23274843934537,-0.119385132335626
2020-02-09,0.647652733118971,1.26925490430443,0.371808475401624,1.12678842132053,0.98243216626955,1.09321203676995,0.0311326485735965
2020-02-10,1.13536977491961,0.758953250362313,0.79553206894588,1.02450400008852,0.872674602026428,0.886650484115883,0.00621127982111156
2020-02-11,1.65781350482315,0.627399859556857,1.40617100726021,0.889148307569739,0.944051007548992,0.856036073300424,-0.0513081957301547
2020-02-12,1.66379421221865,0.656086118539989,1.38650671805105,0.852798955440231,0.962875554060437,0.876813053440515,-0.0217790852061493
2020-02-13,1.68501607717042,0.768365929091154,1.31743764549192,0.923671893153929,0.933017731677006,0.929526986943294,-0.0999191413868127
2020-02-14,1.31266881028939,1.06833903572336,1.23215599406352,1.04106038307902,0.947920497665233,1.08866477628349,-0.188489241988795
2020-02-15,0.815691318327974,1.41537553599976,0.707635485441801,1.05479512686311,1.06290710260598,1.22420089584569,-0.1549311407619
2020-02-16,0.682765273311897,1.3739149273132,0.245210897177384,0.997324975379815,1.12032196946589,1.13060243717923,-0.0590761578645233
2020-02-17,1.14713826366559,0.922890738222946,0.267734178789298,0.956162238721742,1.01375412004832,0.983726739850983,-0.0321176526787122
2020-02-18,1.61768488745981,0.64555288281962,0.75306557203673,0.861097894282584,0.853484022666148,0.878854014161546,-0.0414100207025851
2020-02-19,1.61247588424437,0.686229101612108,1.24509119139792,0.819727684153453,0.809769242434014,0.843496410630412,-0.085400132211678
2020-02-20,1.61382636655949,0.802542917332776,1.3448072678841,0.871305589058679,0.864778750573016,0.914162634635376,-0.133577443012529
2020-02-21,1.32945337620579,1.03954072104107,1.36788840167216,0.917945625352705,0.988759305513675,1.05729112807981,-0.168175619953094
2020-02-22,0.989324758842444,1.39161972777935,0.93903954125956,0.963963241233554,1.1280086592914,1.20392191012153,-0.145233119020864
2020-02-23,0.800450160771704,1.26365211934679,0.393704173315374,1.02458698947695,1.08089500260581,1.10316376124569,-0.00895553613730322
2020-02-24,1.1903536977492,0.866631801676795,1.08409853993815,1.02043752005577,0.957751094176766,0.938164332714695,-0.0421399395152031
2020-02-25,1.47289389067524,0.790882149049462,1.3882151403405,0.887944961437598,0.882243746503079,0.848823318112302,-0.210595136886351
2020-02-26,1.5287459807074,0.857500737360821,1.33159314446163,0.896907815387339,0.943554248682718,0.912582931037298,-0.229585974749741
2020-02-27,1.79440514469453,0.955773585517878,1.88309975210444,0.979627488298496,1.05263203763515,1.06962261275628,-0.181483617682155
2020-02-28,1.43951768488746,1.20525955790083,1.93761236944225,0.983030053223861,1.07529992905935,1.17724247157622,-0.190376078994896
2020-02-29,0.823124734640441,1.34521712614275,1.23316710113279,0.972054706604849,1.08272516684997,1.18805548147624,-0.14989051378455
2020-03-01,0.50055238737356,1.11473009517264,0.507506017249254,0.99861131090038,1.01448618574598,1.0264481296636,-0.0118101694196022
2020-03-02,1.00861736334405,0.821704441887914,1.41959432524874,1.02778208093125,0.914820670049275,0.911729809455907,-0.0322530609360104
2020-03-03,1.55961414790997,0.690487218179917,2.47170352946099,0.949398603565224,0.890767082840206,0.895116389186718,-0.169074436390823
